Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
0,834605.0,116.81379139840416,275.68862200823804,41.47980250785657,6.646334006918685
1,222908.0,75.2273351479781,139.9630432792804,52.110584262881915,2.6858851279273668
2,449910.0,95.06974768486134,167.29200162126526,44.99847337433591,3.7177261599429574
3,995762.0,123.8945803055925,227.07552439234115,52.1581281149684,4.353598041168482
4,190369.0,71.37276724428892,111.63297629635285,60.54372102591631,1.8438406890875985
5,1475845.0,141.25832167704664,280.23607541444244,68.75341039636929,4.075958905876196
6,688015.0,109.53000180268431,191.4523416065716,59.206934437070466,3.233613485090355
7,7853583.0,246.61703488889336,369.3402496440518,140.58146118803654,2.6272329688623453
8,9538171.0,263.1209896578125,402.74648092465594,161.60357155865086,2.492187994610546
9,8203113.0,250.2226911346506,403.2107155260413,162.98335888553817,2.4739379423957804
10,10605152.0,272.5875973757346,428.37764981102083,172.5621027681507,2.482454970930531
11,9614763.0,263.82340451631774,313.63100143570443,207.99949568831872,1.5078450089401731
12,11935923.0,283.5431296980213,409.09603924563487,230.7694184518541,1.7727480616370552
13,13669150.0,296.652237943504,447.7066715651966,249.25721416643614,1.7961633450105483
14,19138764.0,331.8728729636826,421.9306136687696,277.91931876597954,1.5181766260158904
15,14575727.0,303.07064114294525,339.02700963329806,263.9499068873673,1.2844369358992336
16,23053669.0,353.1130843653254,431.46158624614,306.6000272796721,1.4072457529580473
17,20568576.0,339.9396851289329,445.8254967543739,289.1711408348778,1.5417357882505596
18,34825076.0,405.16427998305835,505.39147459402466,314.64713543247495,1.6062166715720332
19,15993323.0,312.5935615505444,358.9428560545858,276.1619941573409,1.2997547224042754
20,22874844.0,352.1976924662772,413.07458543891283,316.7900618581983,1.3039379550480135
21,35024624.0,405.9366715804376,446.7196167134155,371.6135389754026,1.2021080231497816
22,26152289.0,368.2734086111547,546.625962882296,294.6379312591508,1.8552464054653828
23,12270190.0,286.16568510334537,330.99325240114985,259.85186378025855,1.2737767110304483
24,16652572.0,316.8309254654172,365.99230804864254,283.1278577343767,1.2926750160770375
25,28886684.0,380.68551830369455,470.35027357515617,339.22082523146423,1.3865607256105723
26,12254724.0,286.04540173610144,427.9827502473002,194.2719818088161,2.2030081037031883
27,11275165.0,278.2112972175968,370.0567623839334,203.28074660476693,1.820422093900631
28,10017051.0,267.45276218192475,379.6525986882643,195.37061814494376,1.9432430643516894
29,21986919.0,347.58037816065485,360.49267896656266,338.2124640620281,1.065876386212805
30,12533229.0,288.19611200376426,391.6507004914898,225.96018578268738,1.733273050448595
31,30346954.0,386.99512541536467,509.22334378774815,306.849161657393,1.6595233339966315
32,13163316.0,292.9468921305452,403.0863375100782,240.42162151490504,1.6765810619286945
