Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
1,1331.0,13.647710799786799,0.0,0.0,
2,2662.0,17.19503811952898,421.028502598102,0.0,inf
3,1331.0,13.647710799786799,0.0,0.0,
4,1331.0,13.647710799786799,0.0,0.0,
5,1512016.0,142.4030380946963,210.88912959925446,110.05737804954846,1.9161743931816273
6,4823544.0,209.63117763541834,266.69476306480675,159.0771482908797,1.6765120944784817
7,6961130.0,236.89744349469242,347.5650412157909,164.40395963425476,2.1140916677980863
8,2662.0,17.19503811952898,488.8506929523574,1.066240299940009e-06,458480788.03611356
9,1827463.0,151.68756861743756,187.78280167374396,133.15506782378472,1.4102565132725755
10,9372902.0,261.5924174367896,395.8573221792802,176.7900446530935,2.239138085835386
11,1779547.0,150.3500626745179,181.8652878362266,141.47845291057547,1.2854627973008619
12,1331.0,13.647710799786799,0.0,0.0,
13,1630475.0,146.028796941447,159.78989013357082,136.74443993660935,1.1685293398959742
14,10677282.0,273.20419501946924,346.9700480267,224.895869567743,1.5428031145862635
15,10574795.0,272.3272569335674,349.86924911261667,203.79847439933837,1.7167412569882934
16,22476597.0,350.14181517616333,529.8130007879171,228.91533755667646,2.3144495534587857
17,1076779.0,127.1674564870032,181.45688820046863,93.36644775397593,1.9434913993795104
18,13211506.0,293.30394295332826,398.1122928507759,214.63843620067703,1.8548042927342205
19,24736635.0,361.5047428760065,439.5839100922637,290.1048186132159,1.5152589060519595
20,1490720.0,141.73131566332512,190.24874560416978,116.07296596524797,1.6390444064393934
21,11451924.0,279.6575905831747,341.26042620018916,260.4616571115461,1.3102136797587827
22,9455424.0,262.3578895119896,414.50632618052515,212.64267282682317,1.9493092363361155
23,6633704.0,233.12337520575835,286.52659898394444,194.6716823413026,1.4718452911995685
24,18735156.0,329.5233775788311,412.56614727188366,282.7001843033569,1.4593770014283811
25,7191393.0,239.4812227438077,306.9140405446923,188.81554194774233,1.6254702201878888
26,81083189.0,537.0038503308485,710.5436780554837,405.520115172844,1.7521786255969822
27,12376969.0,286.99338960255545,363.2023604257084,225.54976847414173,1.610298085796297
28,7211358.0,239.70263672231542,341.08287769833566,170.59018139971752,1.9994285421335536
29,48773164.0,453.3087504469011,617.7353670000174,392.98937200590444,1.5718882265109608
30,5688694.0,221.48176902604155,260.509081544316,193.3812960390082,1.347126567461659
31,17997782.0,325.1422860680438,446.3428376296008,262.1913860008143,1.7023550790040622
32,19215647.0,332.3166719448727,485.870047698707,263.47483763364977,1.8440851963795042
33,26741121.0,371.0168742712327,459.3784647854721,313.7936367169572,1.463950861437744
34,11553080.0,280.47859254641975,381.4193796694044,224.52294716405103,1.6987990959815553
35,20827488.0,341.3600998374749,488.40210207075995,216.62856427734027,2.254560028591057
36,4609253.0,206.47967513461114,294.6781096562007,162.50459011037233,1.8133525302642637
37,43772597.0,437.2547779976311,610.5979084344137,306.4596059432654,1.9924254178785743
38,77627913.0,529.264903434253,723.5266018301006,340.336202507199,2.1259172444776753
39,69399671.0,509.86233406305445,763.5437828546986,370.5475019189619,2.0605827293410934
40,24639472.0,361.0308037845865,466.64365347741165,310.7178498073268,1.50182441648194
41,127535089.0,624.5161721000469,936.1379617508601,445.5057669475156,2.1012925784665435
42,30316187.0,386.86429729205616,474.29129784603646,305.6993912517989,1.5514957223299524
43,6657662.0,233.40368414335452,309.0626380121008,165.93676963874017,1.8625325699961437
44,6568485.0,232.35687665865666,365.70680562963054,158.360015386251,2.3093380278957816
45,26658599.0,370.63483340704823,575.4474662255243,278.54603566410754,2.0658971679620084
46,11578369.0,280.68309368408256,377.8247450982515,219.31119899168002,1.7227790775635905
47,1453452.0,140.54023989198114,205.56593020443074,107.41632309563553,1.9137308397850303
48,1331.0,13.647710799786799,0.0,0.0,
49,18351828.0,327.2604847169561,434.18651152477247,257.14680787798187,1.6884771586618228
50,55151316.0,472.2649909967001,545.558781346302,433.0000724775723,1.2599507852843599
51,97427869.0,570.9019508670235,741.4045702808737,455.5089595804767,1.6276399282326006
52,25350226.0,364.46939934463796,470.48135760111563,321.68272969887147,1.4625633090142427
53,155989207.0,667.8803139614021,876.1601832711431,568.5912066613398,1.5409316447501715
54,8148382.0,249.66495535165546,342.8535314272069,216.09340358225361,1.5865987843386595
55,13698652.0,296.86550517978014,591.9146575454457,189.13519014492334,3.129585018482789
56,25029455.0,362.9255889836849,581.2161569821558,255.09640830444363,2.2784176415706567
57,31388973.0,391.37477238888005,525.4112490694711,332.3569188166025,1.5808644843027855
