Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Middle Axis Length (µm),Minor Axis Length (µm),True Sphericity (-),Convexity (-),Flatness (-),Elongation (-),Compactness (-)
1,22427308.0,349.88568550103895,563.1888050930706,476.6782809769603,159.55085914941054,0.5198780298233032,0.6540005125903211,0.3347139265972184,0.846391612663867,1.4640566803336696e-07
2,14747358.0,304.2555672010166,484.163328168289,394.86902570018714,147.32302948562364,0.6027534604072571,0.8103196847022478,0.373093405400407,0.8155698763763779,3.1114794296627224e-07
3,16554318.0,316.2065708259198,429.3422306780474,359.34565502460316,204.92581209824058,0.6944875717163086,0.8172123917111948,0.5702749128390324,0.8369678763188501,9.303468004873139e-07
4,47756852.0,450.1380132193286,538.3516207137145,466.05148822194775,363.52739578708264,0.745617151260376,0.8107286296112551,0.7800155239799598,0.8657009105017357,6.142136612652394e-07
5,19365657.0,333.17919231464606,566.0573624836428,292.4924968626855,223.38727985080928,0.6777661442756653,0.7692469972877267,0.7637367872574229,0.5167188278928845,5.94985181123775e-07
6,21482232.0,344.90031689097725,540.3972768041045,485.0250953980483,156.53210248771555,0.6143346428871155,0.7129069307431438,0.3227299040253855,0.8975343071054579,3.243951596232364e-07
7,28251173.0,377.87308051303444,494.9521395189537,402.1480172415748,271.0745369616421,0.746421754360199,0.8346725356629687,0.6740665758369376,0.8124987956056202,1.8722363392953412e-06
8,40788220.0,427.082762881039,876.8773931595599,391.0977404970446,227.1495863333237,0.5455977916717529,0.7200765648331459,0.5808000476930401,0.446011886665071,1.7902200966091186e-07
9,45742867.0,443.71923232500325,554.0019247754066,441.4167846845325,357.2437522334813,0.7089545130729675,0.7479458734999977,0.8093116633269685,0.7967784315252762,1.0201099343021269e-07
10,48255029.0,451.69781132218714,615.9495548256147,466.2387208003541,320.9153379566624,0.6789106130599976,0.7138398364786301,0.6883069201240368,0.7569430274730109,1.665700324338104e-07
11,38794684.0,420.00829290401185,526.0999483263212,427.7189702494378,329.2659521488708,0.7490322589874268,0.8128708838739058,0.7698184440050647,0.8129994530699685,6.273290864555747e-07
12,30078438.0,385.850338541585,429.4032232756243,416.858026255469,320.9247332539654,0.805332601070404,0.8441885252823877,0.7698657889275918,0.9707845765002494,1.929063500938355e-06
