Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Middle Axis Length (µm),Minor Axis Length (µm),True Sphericity (-),Convexity (-),Flatness (-),Elongation (-),Compactness (-)
1,3375.0,18.610514726982004,0.0,0.0,0.0,,inf,,,
2,64125.0,49.66032818104281,56.30206597542038,50.36550987109465,43.18880519583088,2.201829433441162,1.0,0.8575075544031658,0.894558822993859,10.674585342407227
3,94500.0,56.51248378088315,63.671259773158624,57.134528185497324,49.61249842558404,1.6614818572998047,1.0,0.8683452896383133,0.8973362297063119,4.586557388305664
4,963441000.0,1225.3932976388287,2233.536515540479,1955.3096109703743,421.3256600213702,0.2852400839328766,0.607677930526522,0.21547772161375311,0.8754321218237265,0.0011905147694051266
5,993451500.0,1237.9868050936964,2131.3560708876016,1884.0315715370857,472.50222834364826,0.3099197447299957,0.6999393643962002,0.2507931583960441,0.8839590893662748,0.0002563328016549349
6,87750.0,55.13357670972164,221.25334892556887,34.486844748200426,21.963684060163864,402.11090087890625,0.8387096774193549,0.6368713699536098,0.15587038531019948,65018588.0
7,20250.0,33.81754955360479,128.93359215186095,19.850157431536722,15.111110008912414,,1.0,0.7612589502642836,0.15395644455602192,
8,3375.0,18.610514726982004,0.0,0.0,0.0,,inf,,,
9,10125.0,26.841006868189485,,,,,inf,,,
10,500340375.0,984.9684262140606,1604.8874934738592,1481.7114290978066,401.84512487775896,0.3887745141983032,0.7294569752794835,0.2712033645596139,0.9232494085243123,0.0013446739176288247
11,766239750.0,1135.329750985793,2179.847206428754,1860.2398821557376,360.8868447832856,0.2763175964355469,0.4963848045914184,0.19400016537924786,0.8533808592958085,1.9767667254200205e-06
12,2547794250.0,1694.5533391953354,3525.0337191990825,1444.6452083454578,955.52323872448,0.2117556780576706,0.24419903478719093,0.6614241567442252,0.4098245076287365,4.900837302557193e-05
13,976556250.0,1230.9286513110435,2214.2140542166826,2079.251129610972,405.1091872598721,0.2544131278991699,0.571408823413247,0.19483417923436117,0.9390470291936359,0.0004167844890616834
14,482625.0,97.32036537886881,113.2266719753772,93.45001849661337,87.11301763933513,1.1283364295959473,1.0,0.9321883402569054,0.8253357346485946,1.4365335702896118
15,450201375.0,950.9026658115796,1755.8834550199826,1643.498726084179,297.9498261229485,0.2870103418827057,0.5907756219191914,0.18128996475272455,0.9359953369259779,0.0008155863033607602
16,6750.0,23.44777925390316,,,,,inf,,,
17,3375.0,18.610514726982004,0.0,0.0,0.0,,inf,,,
18,3375.0,18.610514726982004,0.0,0.0,0.0,,inf,,,
19,91125.0,55.831544180946004,65.61463219809234,52.58651344254843,50.4386951480848,1.6924388408660889,1.0,0.9591564803624002,0.8014449167952101,4.847735404968262
20,1077853500.0,1272.0974186045864,2154.5778166222885,2034.3731055580736,469.64350880349224,0.28429505228996277,0.5557055855228815,0.23085416707505022,0.9442096218865473,0.0007229721522890031
21,810000.0,115.65439262442294,310.49774544951543,113.84522046714596,43.76361038984001,1.0466004610061646,0.23622047244094488,0.3844132429122884,0.36665393593222184,1.146417260169983
22,182250.0,70.34333776170948,182.39177971480112,77.0013581866872,24.78365004785958,1.8405334949493408,0.9152542372881356,0.3218599078184109,0.4221755953425709,6.234924793243408
23,677602125.0,1089.74623942048,1934.4754092042378,1721.0266817173133,388.7096479758378,0.30994853377342224,0.6600422777377793,0.22585916424489533,0.8896606664156416,0.0012220196658745408
24,6750.0,23.44777925390316,,,,,inf,,,
25,50625.0,45.89747612918804,103.39475535667485,64.6358229107403,14.46753766053534,,1.0,0.22383156907454368,0.6251363784146485,
26,1020289500.0,1249.035930293149,2308.365266335817,2055.5841219481836,410.66246498254134,0.24509307742118835,0.5635374976465523,0.1997789633602225,0.8904934378999363,0.0001926448312588036
27,1289435625.0,1350.414256447247,2428.9033816267142,2175.6579449889587,466.01531134626254,0.2561420798301697,0.6215955459816868,0.21419511850178613,0.8957367186552522,0.00048724477528594434
28,661365000.0,1080.9713789293342,2009.0467253120867,1847.6414330930652,340.2787709539699,0.31646522879600525,0.6324268849199945,0.18416926837601943,0.9196607574201896,0.0033349336590617895
29,108000.0,59.08470131056179,172.77203197919215,52.149628923387155,22.89288199496447,3.115515947341919,1.0,0.43898456168492256,0.3018406875579713,30.240568161010742
30,867803625.0,1183.425562189613,2161.525019282193,1813.216763060135,422.8758126757996,0.29065611958503723,0.6190520902551064,0.2332185656402819,0.8388599469749716,0.0006275876075960696
31,3375.0,18.610514726982004,0.0,0.0,0.0,,inf,,,
32,1389126375.0,1384.355758696122,2309.3009848024185,2110.0451908726022,544.4660911480665,0.29695066809654236,0.7000595298840018,0.2580352750278796,0.9137159706590328,0.0002944615262094885
33,1513363500.0,1424.4532845821286,2531.1625953876546,2364.5591337476862,482.9191298606902,0.23944877088069916,0.5948990909428615,0.20423220674345835,0.9341790756770989,0.0002388226130278781
34,594577125.0,1043.2855481359845,1823.0147487902782,1706.5508607759616,365.0061281288182,0.2781774401664734,0.5500135808905943,0.21388529138993925,0.936114675928102,0.0006737789371982217
