Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
0,963441000.0,1225.3932976388285,2593.94409156788,489.31143895962526,5.301212857568031
1,993451500.0,1237.9868050936961,2411.983755902275,534.7148904584582,4.510784717130785
2,500340375.0,984.9684262140604,1761.525492147275,441.065319270215,3.993797324763344
3,766239750.0,1135.3297509857928,2625.7347458255294,434.70635536300915,6.040249270413504
4,2547794250.0,1694.553339195335,5954.294429638697,1614.017679846654,3.6891135109526236
5,976556250.0,1230.9286513110433,2606.9660565963,476.96641280079484,5.465722505045864
6,482625.0,97.32036537886877,113.00796645835943,86.94474760083493,1.299767606171925
7,450201375.0,950.9026658115794,2046.8732697945807,347.3269462713255,5.893217591576096
8,1077853500.0,1272.0974186045862,2503.0504039967714,545.6019762199672,4.587685736291451
9,810000.0,115.65439262442293,587.1609502381465,82.75840913451125,7.094879618623472
10,677602125.0,1089.7462394204797,2199.2474946673533,441.9127855525087,4.976655047257137
11,1020289500.0,1249.0359302931488,2773.6591564803243,493.43930810340487,5.621074589986004
12,1289435625.0,1350.4142564472465,2834.4769377163916,543.829143220393,5.212072528756862
13,661365000.0,1080.971378929334,2300.936041135668,389.7171078515791,5.9041186408782504
14,867803625.0,1183.425562189613,2530.4392546954177,495.0491635751848,5.111490819257007
15,1389126375.0,1384.3557586961217,2616.834241406945,616.9735309094823,4.241404388206837
16,1513363500.0,1424.4532845821286,2957.354967262263,564.232040608633,5.241380769642549
17,594577125.0,1043.285548135984,2191.6509268727705,438.8146981886932,4.994479300532331
18,571998375.0,1029.9086939081346,2261.069986205123,416.108094630628,5.4338524421454375
19,1105302375.0,1282.8055403988365,3157.8913325955095,400.2522721709648,7.8897524190609465
20,489375.0,97.77197447052315,675.7309560028599,51.24997159645692,13.18500157080234
21,865883250.0,1182.551977723368,2615.6744928464113,427.90743921499785,6.112710958343941
22,1091275875.0,1277.3560735978947,2648.278995494471,528.2175552337978,5.013614124055946
23,1516509000.0,1425.439502167568,3308.3707531206983,636.6439174213473,5.196579536204276
24,2423250.0,166.64790808191395,798.3291291074623,59.94376845020945,13.317966983850395
25,101320875.0,578.4068617753852,1223.0529719334313,230.2422201661342,5.312027355586312
26,1252651500.0,1337.4489480467132,2881.724694822103,559.7064226000306,5.148636103612126
27,2331763875.0,1645.2376866604884,3733.5258238390447,643.6676839187907,5.800393459414518
28,807583500.0,1155.392661933482,2553.736488968727,445.4147794294557,5.733389655906524
29,715064625.0,1109.4699837896,2598.4908613699954,388.17946230622283,6.69404518706898
30,667284750.0,1084.1869922885169,1974.6317682893948,511.2402259421325,3.8624342688419517
31,2626182000.0,1711.756816619301,4598.40982553566,503.84118926197743,9.126704849739209
32,309642750.0,839.371265653829,1471.1003355201415,422.30286585543564,3.4835196596173095
33,849956625.0,1175.2566403382575,2704.896753913009,480.9383421521141,5.624206923925162
34,1778297625.0,1503.1486877652155,4852.159140933731,868.3389391943925,5.587863128003168
35,209830500.0,737.2645141874888,1560.187103152238,290.69617951967035,5.3670712347516965
36,816750.0,115.97476653979778,644.893741452848,45.80785009985551,14.078236373177491
37,799875.0,115.1704773721155,449.2999636054147,50.537938249847336,8.890350084805288
38,712125.0,110.79475548818202,601.2760722013788,37.24847751744271,16.14229929048277
39,715500.0,110.96951091263516,683.0787309758269,92.06984339364527,7.419136449003383
40,452658375.0,952.6293971011701,2092.265381960189,435.36642313996526,4.805757336246278
41,957065625.0,1222.6843832300465,2742.856335452093,455.33803981766795,6.023780346905392
42,64840500.0,498.4434701922317,894.5938186776661,202.99044990823015,4.4070734316915035
43,1075069125.0,1271.0010882283798,2521.185574874347,513.3441389605857,4.911297088107832
44,931810500.0,1211.8336075747563,2687.647708376174,500.10234369782125,5.374195386694971
45,216249750.0,744.7073906715927,1481.3852555467404,343.2400512544104,4.315886943067532
46,215655750.0,744.0249053598477,1338.2815671240357,356.30025473483255,3.7560499868854094
47,732375.0,111.83514269927868,465.34143552848127,77.16560882604394,6.030425245234705
48,1971577125.0,1555.7448885953418,3231.7310577002827,652.1140153654694,4.955776109012315
49,787461750.0,1145.7159218026238,2630.0453682907023,418.57946497647754,6.2832642027446335
50,1088201250.0,1276.1553124176564,2933.8599942232636,477.4822182038363,6.144438226955719
51,479023875.0,970.7770762454296,2026.1708871613318,374.0870854074114,5.416308036816257
52,864826875.0,1182.070878720589,2854.851622384449,418.09069630259046,6.828306986095353
53,370902375.0,891.4294902650962,1800.6772704671323,375.72936774184643,4.792484764471031
54,2031750.0,157.14137491559646,614.0919546746715,71.29045870924651,8.613943096918558
55,520998750.0,998.3420249333312,1744.1997241100544,471.0378288404639,3.7028867265367738
